"","date","pm2.5Kens","wsKens","air_tempKens","pm2.5Marl","wsMarl","air_tempMarl"
"21",2015-01-21,25.4875,3.36666666666667,3.00833333333333,20.4421416050907,3.36666666666667,3.00833333333333
"22",2015-01-22,39.9625,2.325,-0.875,33.8952083333333,2.325,-0.875
"23",2015-01-23,43.9166666666667,2.69583333333333,0.0875,43.140125,2.69583333333333,0.0875
"24",2015-01-24,13.0791666666667,3.82083333333333,3.875,9.66508333333333,3.82083333333333,3.875
"25",2015-01-25,17.175,2.92083333333333,2.88333333333333,19.1599166666667,2.92083333333333,2.88333333333333
"26",2015-01-26,10.1166666666667,3.65,6.29166666666667,11.9658977165447,3.65,6.29166666666667
"27",2015-01-27,9.77552494095986,2.625,2.51666666666667,14.0523496305441,2.625,2.51666666666667
"28",2015-01-28,9.95966357195621,6.20833333333333,5.69166666666667,13.7780643832114,6.20833333333333,5.69166666666667
"29",2015-01-29,9.95966357195621,5.21666666666667,2.61666666666667,13.0016666666667,5.21666666666667,2.61666666666667
"30",2015-01-30,12.0755950301357,3.67083333333333,2.42083333333333,12.494875,3.67083333333333,2.42083333333333
"31",2015-01-31,10.1583333333333,5.27083333333333,1.15416666666667,7.00958333333333,5.27083333333333,1.15416666666667
"32",2015-02-01,9.62916666666667,6.12916666666667,1.06666666666667,5.4285,6.12916666666667,1.06666666666667
"33",2015-02-02,15.5958333333333,2.44583333333333,-2.825,11.5705,2.44583333333333,-2.825
"34",2015-02-03,16.3583333333333,3.5,1.0375,11.5705416666667,3.5,1.0375
"35",2015-02-04,14.3531511014763,4.1625,0.779166666666667,11.1692916666667,4.1625,0.779166666666667
"36",2015-02-05,9.45812306580597,4.075,0.508333333333333,8.46504166666667,4.075,0.508333333333333
"37",2015-02-06,10.6291666666667,3.86666666666667,0.2375,8.66375,3.86666666666667,0.2375
"38",2015-02-07,14.6483193154982,3.74166666666667,1.2375,12.0935833333333,3.74166666666667,1.2375
"39",2015-02-08,14.0873598216484,2.525,1.73333333333333,13.8651666666667,2.525,1.73333333333333
"40",2015-02-09,9.95966357195621,2.02083333333333,0.941666666666667,21.3857916666667,2.02083333333333,0.941666666666667
"41",2015-02-10,12.2172616968023,1.64583333333333,0.475,22.1884583333333,1.64583333333333,0.475
"42",2015-02-11,27.4833333333333,1.42083333333333,-0.0958333333333333,30.3332083333333,1.42083333333333,-0.0958333333333333
"43",2015-02-12,36.4566526488315,3.40427191927292,10.1635658914729,40.2579166666667,3.40451263537906,10.1647095199893
"44",2015-02-13,26.8583333333333,4.275,6.3625,29.627875,4.275,6.3625
"45",2015-02-14,13,2.70833333333333,6.02916666666667,11.69225,2.70833333333333,6.02916666666667
"46",2015-02-15,34.1708333333333,2.32083333333333,4.19583333333333,28.9508333333333,2.32083333333333,4.19583333333333
"47",2015-02-16,23.0333333333333,2.70416666666667,4.03333333333333,25.1398333333333,2.70416666666667,4.03333333333333
"48",2015-02-17,13.8708333333333,3.19166666666667,3.23333333333333,11.745,3.19166666666667,3.23333333333333
"49",2015-02-18,13.1940825596557,3.10833333333333,3.07916666666667,20.6721666666667,3.10833333333333,3.07916666666667
"50",2015-02-19,10.9375,4.40416666666667,5.39583333333333,16.719375,4.40416666666667,5.39583333333333
"51",2015-02-20,11.2625,2.12916666666667,2.74583333333333,10.8287083333333,2.12916666666667,2.74583333333333
"52",2015-02-21,11.2666666666667,2.7625,1.90416666666667,9.48275,2.7625,1.90416666666667
"53",2015-02-22,9.79166666666667,4.69166666666667,3.05,11.647625,4.69166666666667,3.05
