"","date","coKens","no2Kens","o3Kens","so2Kens","pm2.5Kens","wsKens","air_tempKens","coMary","no2Mary","o3Mary","so2Mary","pm2.5Mary","wsMary","air_tempMary"
"449",2016-03-24,0.191332958333333,41.6421245833333,38.9715879166667,1.11092666666667,17.5833333333333,3.49166666666667,5.98333333333333,0.726097125,137.31099375,5.73070875,13.1434054166667,29.7713333333333,3.49166666666667,5.98333333333333
"450",2016-03-25,0.134865333333333,21.8871829166667,64.7881829166667,1.05785194932766,6.425,3.10833333333333,8.53333333333333,0.625903,87.76488375,24.1084733333333,6.89758,11.6937916666667,3.10833333333333,8.53333333333333
"451",2016-03-26,0.135075666666667,16.3472333333333,65.07229375,2.08795666666667,6.025,5.85833333333333,9.09166666666667,0.517571916666667,85.35257125,18.8656025,7.05608916666667,10.79775,5.85833333333333,9.09166666666667
"452",2016-03-27,0.122685708333333,11.5972008333333,71.5458466666667,2.25457833333333,3.33333333333333,6.36666666666667,8.0125,0.42720075,80.7026125,25.1645304166667,7.30852291666667,7.30858333333333,6.36666666666667,8.0125
"453",2016-03-28,0.13062075,13.3826916666667,65.7229754166667,3.06547708333333,3.70080529766302,7.025,7.5375,0.354402,81.0012875,25.1388916666667,8.22589625,7.923875,7.025,7.5375
"454",2016-03-29,0.134117541666667,23.83113875,59.08450125,1.49043666666667,3.47916666666667,4.97083333333333,7.48333333333333,0.632419458333333,130.764976666667,11.1620620833333,12.3679470833333,12.5940833333333,4.97083333333333,7.48333333333333
"455",2016-03-30,0.1730455,36.7448951630795,42.7945991666667,1.47132166666667,5.65833333333333,3.0375,6.35416666666667,0.57543425,120.3157275,10.8232095833333,10.1316454166667,12.1768333333333,3.0375,6.35416666666667
"456",2016-03-31,0.193394666666667,42.1862433333333,37.6092441666667,1.29943458333333,10.075,2.8875,5.70833333333333,0.430632708333333,73.6622091666667,21.8508375,4.8484925,10.38675,2.8875,5.70833333333333
"457",2016-04-01,0.250974125,42.68152875,44.30176875,2.02769916666667,14.4458333333333,2.62083333333333,5.40833333333333,0.865906083333333,132.484154583333,7.40903708333333,9.82464458333333,21.19425,2.62083333333333,5.40833333333333
"458",2016-04-02,0.169201125,28.63284875,59.313175,1.20959083333333,18.4333333333333,2.925,8.42083333333333,0.708148875,105.183276666667,15.9351108333333,6.71167708333333,21.9945,2.925,8.42083333333333
"459",2016-04-03,0.232031541666667,32.2032516666667,42.0053283333333,1.66193625,19.9333333333333,2.67083333333333,8.82083333333333,0.622507541666667,88.53541625,13.2388366666667,7.31219083333333,24.580875,2.67083333333333,8.82083333333333
"460",2016-04-04,0.167531541666667,25.5271004166667,62.00252,3.14864,8.44166666666667,3.51666666666667,9.39166666666667,0.515344458333333,121.429075,10.4171395833333,9.74440166666667,16.863,3.51666666666667,9.39166666666667
"461",2016-04-05,0.153569375,27.28281375,56.40208625,1.33833792399149,7.5125,2.73333333333333,7.3125,0.38497425,101.825777083333,16.6204391666667,7.99591291666667,12.87825,2.73333333333333,7.3125
"462",2016-04-06,0.136857359248052,22.4186755797462,55.2703661373006,1.6617528119603,5.40416666666667,5.12083333333333,7.00833333333333,0.482109968993639,119.065601508426,13.0220794903634,9.84840159331638,12.969,5.12083333333333,7.00833333333333
"463",2016-04-07,0.137327166666667,31.4551195833333,37.3944295833333,1.86024339193194,4.44166666666667,3.89166666666667,5.7375,0.608064125,111.020691666667,9.60846458333333,10.3436025,11.9752083333333,3.89166666666667,5.7375
"464",2016-04-08,0.175389916666667,41.6317839130795,36.2579904166667,1.86024339193194,8.6875,2.075,5.77083333333333,0.602910166666667,121.886633333333,7.79293208333333,10.8437216666667,15.6592083333333,2.075,5.77083333333333
"465",2016-04-09,0.136041583333333,23.5094654166667,59.4815629166667,1.86024339193194,4.37916666666667,3.1,6.925,0.470025625,107.739339166667,13.90545625,8.89463083333333,10.4013479012727,3.1,6.925
"466",2016-04-10,0.142376083333333,32.06425125,60.53554125,1.86024339193194,7.15416666666667,4.07916666666667,5.7125,0.4704905,81.007025,28.0437433333333,4.55789041666667,9.73333333333333,4.07916666666667,5.7125
"467",2016-04-11,0.261528666666667,46.192175,26.7195129166667,1.86024339193194,26.3791666666667,2.7,9.24166666666667,0.740314041666667,104.538677916667,10.8391466666667,9.48514916666667,32.2331666666667,2.7,9.24166666666667
"468",2016-04-12,0.1547375,30.4820954166667,52.1110574624335,1.86024339193194,6.9,2.12916666666667,8.825,0.574856083333333,129.711480833333,9.27307708333333,12.4164258333333,15.5603333333333,2.12916666666667,8.825
"469",2016-04-13,0.244623458333333,50.5583004166667,36.4500820082004,1.86024339193194,10.3666666666667,1.59583333333333,8.65416666666667,0.496098833333333,118.938979166667,10.86062875,11.23813625,16.7714166666667,1.59583333333333,8.65416666666667
"470",2016-04-14,0.1775445,38.6480920833333,53.1223479166667,1.86024339193194,11.6416666666667,2.00416666666667,9.99583333333333,0.461129086256997,95.5172431011076,15.9106786984205,7.62862120312991,18.1832727165447,2.00416666666667,9.99583333333333
