"","date","no2","o3","pm2.5"
"473",2016-04-17,35.00999375,42.32824375,6.88333333333333
"474",2016-04-18,43.48304625,39.1413604166667,9.9875
"475",2016-04-19,30.95729875,53.8804370833333,7.95833333333333
"476",2016-04-20,31.9206050937378,50.6721424209004,9.49583333333333
"477",2016-04-21,32.4123258333333,52.19171375,13.95
"478",2016-04-22,33.9210304166667,51.2860266666667,10.2375
"479",2016-04-23,27.13246,51.9886791666667,6.80833333333333
"480",2016-04-24,24.2111483333333,58.57241,6.82083333333333
"481",2016-04-25,32.1318854166667,42.14807625,6.93333333333333
"482",2016-04-26,25.2124341666667,56.0036391666667,4.82083333333333
"483",2016-04-27,30.6030691666667,50.2209591666667,8.70833333333333
"484",2016-04-28,28.4034679166667,49.5680305175974,7.57083333333333
"485",2016-04-29,22.9673866666667,55.617665,4.3625
"486",2016-04-30,35.90323,44.6721646452054,5.5875
"487",2016-05-01,27.5915445833333,53.9081545833333,7.07916666666667
"488",2016-05-02,14.9713291666667,55.9909366392751,6.88333333333333
"489",2016-05-03,33.0411870833333,46.7908504166667,6.5375
"490",2016-05-04,36.4269181147708,52.5553429096343,10.0429974948352
"491",2016-05-05,51.4282870833333,61.89719125,14.6041666666667
"492",2016-05-06,63.0446258333333,51.3449275,24.125
"493",2016-05-07,46.5318491666667,61.5091379166667,30.4
"494",2016-05-08,43.7871125,76.9252291666667,14.35
"495",2016-05-09,55.9831658333333,59.0048125,18.8375
"496",2016-05-10,51.3683629166667,26.98006375,22.4458333333333
"497",2016-05-11,42.8807333333333,24.6226420833333,24.15
"498",2016-05-12,23.7096808333333,79.8425529166667,22.7583333333333
"499",2016-05-13,13.7574033333333,79.3263033333333,14
"500",2016-05-14,14.1069,79.3304620833333,7.55833333333333
"501",2016-05-15,28.0244204166667,64.7313490618158,10.9708333333333
"502",2016-05-16,34.91063625,56.7686575,12.5894826813296
"503",2016-05-17,30.7238683333333,59.4344416666667,12.3291666666667
"504",2016-05-18,23.99047375,63.75430125,6.54166666666667
"505",2016-05-19,19.687395,51.4980695833333,8.52471917106998
"506",2016-05-20,16.3521945833333,57.6112870833333,7.71666666666667
"507",2016-05-21,13.7968216666667,58.8530545833333,7.425
"508",2016-05-22,16.2175154166667,61.0829729166667,5.20833333333333
"509",2016-05-23,19.84153125,53.8083695833333,5.79166666666667
"510",2016-05-24,16.0428875,58.9992679166667,5.65
"511",2016-05-25,22.4042341666667,52.2025276217086,7.0625
"512",2016-05-26,36.71199875,44.8997858333333,12.1125
"513",2016-05-27,31.8965829166667,61.3941079166667,16.797349395183
"514",2016-05-28,25.0511741666667,67.9882341666667,20.7
"515",2016-05-29,11.7298879166667,77.60986375,13.1833333333333
"516",2016-05-30,12.3793266666667,72.0413054166667,8.79166666666667
"517",2016-05-31,18.0659333333333,54.8907591666667,5.91666666666667
"518",2016-06-01,16.1781062023697,55.0225986521704,5.09583333333333
"519",2016-06-02,12.5198904166667,70.9873275,5.20833333333333
"520",2016-06-03,21.1066033333333,52.7252866666667,7.55833333333333
"521",2016-06-04,23.14009375,53.98368625,16.6375
"522",2016-06-05,20.94839625,60.3886354166667,16.0666666666667
"523",2016-06-06,38.2722383333333,44.2338604166667,14.8173008706352
"524",2016-06-07,74.3294395833333,30.7420954166667,18.8388112710097
"525",2016-06-08,56.094655,42.138375,16.3791666666667
"526",2016-06-09,41.9827616666667,31.6886675,14.8794323875817
"527",2016-06-10,39.1109575,56.4000079166667,11.4991510915606
"528",2016-06-11,30.1779425,68.6306,13.9784784537862
"529",2016-06-12,20.11441375,42.7772754166667,7.7
"530",2016-06-13,25.4123045833333,32.0101979166667,6.35
